EMP_ID,NUM_LOGIN,NUM_CONTENTS,NUM_ACTION,TIME_LOGIN,TIME_TEST,NUM_REVISION,SCORE
S0001,7,10,57,150,1.95,1,9.77
S0002,7,11,54,144,2.42,10,5.8
S0003,2,11,21,132,2.14,1,9.77
S0004,10,11,101,350,2.73,7,7.15
S0005,4,11,35,93,1.61,5,5.28
S0006,3,11,41,47,2.31,6,5.81
S0007,7,10,49,233,2.0,6,9.55
S0008,10,11,81,326,2.56,10,7.26
S0009,9,11,64,91,2.53,13,3.87
S0010,4,11,38,154,1.92,6,5.5
S0011,2,2,16,28,1.73,10,3.79
S0012,8,11,62,81,2.48,13,5.32
S0013,5,11,46,163,1.95,5,6.36
S0014,8,11,66,185,2.65,12,6.05
S0015,9,11,72,96,2.49,11,5.44
S0016,6,8,38,163,2.28,4,8.2
S0017,10,11,93,144,2.26,17,4.66
S0018,2,11,33,96,2.72,5,6.63
S0019,9,10,59,143,2.27,9,5.84
S0020,4,1,22,58,2.24,2,4.15
S0021,1,1,5,10,1.0,0,4.6
S0022,4,3,26,91,1.58,3,4.6
S0023,6,11,56,178,2.33,9,6.8
S0024,11,11,149,96,1.96,21,5.94
S0025,7,11,83,276,2.36,11,6.45
S0026,7,10,84,60,1.47,9,5.45
S0027,3,11,32,259,2.28,3,8.42
S0028,3,10,33,192,1.34,4,9.77
S0029,11,10,92,302,2.26,1,7.61
S0030,14,11,104,602,2.65,1,8.5
S0031,11,11,101,252,1.63,4,8.76
S0032,4,11,42,73,2.28,8,7.75
S0033,7,11,82,79,1.53,10,7.84
S0034,8,11,58,229,1.89,9,9.7
S0035,9,11,54,196,2.58,5,5.37
S0036,3,10,33,49,2.48,6,7.84
S0037,2,10,19,18,0.77,18,4.38
S0038,7,1,54,183,1.73,9,6.69
S0039,1,11,15,134,1.95,0,8.69
S0040,15,11,121,603,2.52,3,8.37
S0041,4,11,37,182,2.08,6,8.78
S0042,15,11,98,505,2.1,12,7.37
S0043,17,11,164,50,1.94,43,5.76
S0044,24,11,230,521,1.71,4,8.04
S0045,8,11,44,309,1.67,5,9.62
S0046,7,11,49,181,2.55,8,7.03
S0047,1,2,10,113,1.87,1,8.2
S0048,12,11,81,503,1.67,12,9.13
S0049,11,11,83,152,2.57,14,5.61
S0050,20,11,135,560,1.62,21,7.79
S0051,1,11,25,91,1.51,2,9.55
S0052,4,10,35,94,1.55,3,4.82
S0053,9,11,99,214,2.42,10,6.3
S0054,6,11,49,197,2.37,0,9.64
S0055,10,11,117,375,1.78,3,8.8
S0056,8,11,52,93,2.3,4,4.68
S0057,17,11,129,948,2.3,2,8.35
S0058,4,11,56,114,1.84,12,5.81
S0059,11,10,110,217,2.0,8,7.93
S0060,16,11,143,865,2.53,28,7.0
S0061,18,11,89,576,2.62,1,7.64
S0062,13,11,133,316,2.29,2,6.88
S0063,4,10,33,86,1.61,4,9.55
S0064,7,10,54,45,1.63,5,6.35
S0065,10,9,78,95,1.82,11,5.31
S0066,13,11,155,458,2.2,2,7.8
S0067,8,11,52,170,1.93,7,7.9
S0068,11,11,122,126,2.36,23,5.9
S0069,13,11,147,192,1.7,23,6.29
S0070,15,11,94,399,2.32,13,8.65
S0071,4,11,39,46,2.45,1,5.23
