REG_NO,GRE,TOEFL,UNIV_RATING,SOP,LOR,CGPA,RESEARCH,ADMIT
1,337,118,B,4.5,4.5,9.65,1,Admitted
2,324,107,B,4.0,4.5,8.87,1,Admitted
3,316,104,C,3.0,3.5,8.0,1,Denied
4,322,110,C,3.5,2.5,8.67,1,Admitted
5,314,103,D,2.0,3.0,8.21,0,Denied
6,330,115,A,4.5,3.0,9.34,1,Admitted
7,321,109,C,3.0,4.0,8.2,1,Admitted
8,308,101,D,3.0,4.0,7.9,0,Denied
9,302,102,E,2.0,1.5,8.0,0,Denied
10,323,108,C,3.5,3.0,8.6,0,Denied
11,325,106,C,3.5,4.0,8.4,1,Denied
12,327,111,B,4.0,4.5,9.0,1,Admitted
13,328,112,B,4.0,4.5,9.1,1,Admitted
14,307,109,C,4.0,3.0,8.0,1,Denied
15,311,104,C,3.5,2.0,8.2,1,Denied
16,314,105,C,3.5,2.5,8.3,0,Denied
17,317,107,C,4.0,3.0,8.7,0,Denied
18,319,106,C,4.0,3.0,8.0,1,Denied
19,318,110,C,4.0,3.0,8.8,0,Denied
20,303,52,C,3.5,3.0,8.5,0,Denied
21,312,107,C,3.0,2.0,7.9,1,Denied
22,325,114,B,3.0,2.0,8.4,0,Denied
23,328,116,A,5.0,5.0,9.5,1,Admitted
24,334,119,A,5.0,4.5,9.7,1,Admitted
25,336,119,A,4.0,3.5,9.8,1,Admitted
26,340,120,A,4.5,4.5,9.6,1,Admitted
27,322,109,A,4.5,3.5,8.8,0,Admitted
28,298,98,D,1.5,2.5,7.5,1,Denied
29,295,93,E,2.0,2.0,7.2,0,Denied
30,310,99,D,1.5,2.0,7.3,0,Denied
31,300,97,D,3.0,3.0,8.1,1,Denied
32,327,103,C,4.0,4.0,8.3,1,Denied
33,338,118,B,3.0,4.5,9.4,1,Admitted
34,340,114,A,4.0,4.0,9.6,1,Admitted
35,331,112,A,4.0,5.0,9.8,1,Admitted
36,320,110,A,5.0,5.0,9.2,1,Admitted
37,299,106,D,4.0,4.0,8.4,0,Denied
38,300,105,E,1.0,2.0,7.8,0,Denied
39,304,105,E,3.0,1.5,7.5,0,Denied
40,307,108,D,4.0,3.5,7.7,0,Denied
41,308,110,C,3.5,3.0,8.0,1,Denied
42,316,105,D,2.5,2.5,8.2,1,Denied
43,313,107,D,2.5,2.0,8.5,1,Denied
44,332,117,B,4.5,4.0,9.1,0,Admitted
45,326,113,A,4.5,4.0,9.4,1,Admitted
46,322,110,A,5.0,4.0,9.1,1,Admitted
47,329,114,A,4.0,5.0,9.3,1,Admitted
48,339,119,A,4.5,4.0,9.7,0,Admitted
49,321,110,C,3.5,5.0,8.85,1,Admitted
50,327,111,B,3.0,4.0,8.4,1,Admitted
51,313,98,C,2.5,4.5,8.3,1,Admitted
52,312,100,D,1.5,3.5,7.9,1,Denied
53,334,116,B,4.0,3.0,8.0,1,Admitted
54,324,112,B,4.0,2.5,8.1,1,Denied
55,322,110,C,3.0,3.5,8.0,0,Denied
56,320,103,C,3.0,3.0,7.7,0,Denied
57,316,102,C,2.0,3.0,7.4,0,Denied
58,298,99,D,4.0,2.0,7.6,0,Denied
59,300,99,E,3.0,2.0,6.8,1,Denied
60,311,104,D,2.0,2.0,8.3,0,Denied
61,309,100,D,3.0,3.0,8.1,0,Denied
62,307,101,C,4.0,3.0,8.2,0,Denied
63,304,105,D,3.0,3.0,8.2,1,Denied
64,315,107,D,4.0,3.0,8.5,1,Denied
65,325,111,C,3.0,3.5,8.7,0,Denied
66,325,112,B,3.5,3.5,8.92,0,Denied
67,327,114,C,3.0,3.0,9.02,0,Denied
68,316,107,D,3.5,3.5,8.64,1,Denied
69,318,109,C,3.5,4.0,9.22,1,Denied
70,328,115,B,4.5,4.0,9.16,1,Admitted
71,332,118,A,5.0,5.0,9.64,1,Admitted
72,336,112,A,5.0,5.0,9.76,1,Admitted
73,321,111,A,5.0,5.0,9.45,1,Admitted
74,314,108,B,4.5,4.0,9.04,1,Admitted
75,314,106,C,3.0,5.0,8.9,0,Denied
76,329,114,D,2.0,4.0,8.56,1,Denied
77,327,112,C,3.0,3.0,8.72,1,Denied
78,301,99,D,3.0,2.0,8.22,0,Denied
79,296,95,D,3.0,2.0,7.54,1,Denied
80,294,93,E,1.5,2.0,7.36,0,Denied
81,312,105,C,2.0,3.0,8.02,1,Denied
82,340,120,B,5.0,5.0,9.5,1,Admitted
83,320,110,A,5.0,4.5,9.22,1,Admitted
84,322,115,A,4.0,4.5,9.36,1,Admitted
85,340,115,A,4.5,4.5,9.45,1,Admitted
86,319,103,B,4.5,3.5,8.66,0,Admitted
87,315,106,C,4.5,3.5,8.42,0,Denied
88,317,107,D,3.5,3.0,8.28,0,Denied
89,314,108,C,4.5,3.5,8.14,0,Denied
90,316,109,B,4.5,3.5,8.76,1,Denied
91,318,106,D,4.0,4.0,7.92,1,Denied
92,299,97,C,5.0,3.5,7.66,0,Denied
93,298,98,D,4.0,3.0,8.03,0,Denied
94,301,97,D,3.0,3.0,7.88,1,Denied
95,303,99,C,2.0,2.5,7.66,0,Denied
96,304,100,B,1.5,2.5,7.84,0,Denied
97,306,100,D,3.0,3.0,8.0,0,Denied
98,331,120,C,4.0,4.0,8.96,1,Admitted
99,332,119,B,5.0,4.5,9.24,1,Admitted
100,323,113,C,4.0,4.0,8.88,1,Admitted
101,322,107,C,3.5,3.5,8.46,1,Denied
102,312,105,D,2.5,3.0,8.12,0,Denied
103,314,106,D,4.0,3.5,8.25,0,Denied
104,317,104,D,4.5,4.0,8.47,0,Denied
105,326,112,C,3.5,3.0,9.05,1,Denied
106,316,110,C,4.0,4.5,8.78,1,Denied
107,329,111,B,4.5,4.5,9.18,1,Admitted
108,338,117,B,3.5,4.5,9.46,1,Admitted
109,331,116,A,5.0,5.0,9.38,1,Admitted
110,304,103,A,5.0,4.0,8.64,0,Denied
111,305,108,A,3.0,3.0,8.48,0,Denied
112,321,109,B,4.0,4.0,8.68,1,Denied
113,301,107,C,3.5,3.5,8.34,1,Denied
114,320,110,D,4.0,3.5,8.56,0,Denied
115,311,105,C,3.5,3.0,8.45,1,Denied
116,310,106,B,4.5,4.5,9.04,1,Denied
117,299,102,C,4.0,3.5,8.62,0,Denied
118,290,104,B,2.0,2.5,7.46,0,Denied
119,296,59,D,3.0,3.5,7.28,0,Denied
120,327,104,A,3.0,3.5,8.84,1,Denied
121,335,117,A,5.0,5.0,9.56,1,Admitted
122,334,119,A,4.5,4.5,9.48,1,Admitted
123,310,106,B,1.5,2.5,8.36,0,Denied
124,308,108,C,3.5,3.5,8.22,0,Denied
125,301,106,B,2.5,3.0,8.47,0,Denied
126,300,100,C,2.0,3.0,8.66,1,Denied
127,323,113,C,4.0,3.0,9.32,1,Admitted
128,319,112,C,2.5,2.0,8.71,1,Admitted
129,326,112,C,3.5,3.0,9.1,1,Admitted
130,333,118,A,5.0,5.0,9.35,1,Admitted
131,339,114,A,4.0,4.5,9.76,1,Admitted
132,303,105,A,5.0,4.5,8.65,0,Admitted
133,309,105,A,3.5,3.5,8.56,0,Denied
134,323,112,A,4.0,4.5,8.78,0,Admitted
135,333,113,A,4.0,4.0,9.28,1,Admitted
136,314,109,B,3.5,4.0,8.77,1,Admitted
137,312,103,C,5.0,4.0,8.45,0,Admitted
138,316,100,D,1.5,3.0,8.16,1,Denied
139,326,116,D,4.5,3.0,9.08,1,Admitted
140,318,109,E,3.5,3.5,9.12,0,Admitted
141,329,110,D,4.0,3.0,9.15,1,Admitted
142,332,118,D,4.5,3.5,9.36,1,Admitted
143,331,115,A,4.0,3.5,9.44,1,Admitted
144,340,120,B,4.5,4.0,9.92,1,Admitted
145,325,112,D,3.0,3.5,8.96,1,Admitted
146,320,113,D,2.0,2.5,8.64,1,Admitted
147,315,105,C,2.0,2.5,8.48,0,Admitted
148,326,114,C,3.0,3.0,9.11,1,Admitted
149,339,116,B,4.0,3.5,9.8,1,Admitted
150,311,106,D,3.5,3.0,8.26,1,Admitted
151,334,114,B,4.0,4.0,9.43,1,Admitted
152,332,116,A,5.0,5.0,9.28,1,Admitted
153,321,112,A,5.0,5.0,9.06,1,Admitted
154,324,105,C,3.0,4.0,8.75,0,Admitted
155,326,108,C,3.0,3.5,8.89,0,Admitted
156,312,109,C,3.0,3.0,8.69,0,Admitted
157,315,105,C,2.0,2.5,8.34,0,Denied
158,309,104,D,2.0,2.5,8.26,0,Denied
159,306,106,D,2.0,2.5,8.14,0,Denied
160,297,100,E,1.5,2.0,7.9,0,Denied
161,315,103,E,1.5,2.0,7.86,0,Denied
162,298,99,E,1.5,3.0,7.46,0,Denied
163,318,109,C,3.0,3.0,8.5,0,Denied
164,317,105,C,3.5,3.0,8.56,0,Denied
165,329,111,B,4.5,4.0,9.01,1,Admitted
166,322,110,A,4.5,4.0,8.97,0,Admitted
167,302,102,C,3.5,5.0,8.33,0,Denied
168,313,102,C,2.0,3.0,8.27,0,Denied
169,293,97,D,2.0,4.0,7.8,1,Denied
170,311,99,D,2.5,3.0,7.98,0,Denied
171,312,101,D,2.5,3.5,8.04,1,Denied
172,334,117,A,4.0,4.5,9.07,1,Admitted
173,322,110,B,4.0,5.0,9.13,1,Admitted
174,323,113,B,4.0,4.5,9.23,1,Admitted
175,321,111,B,4.0,4.0,8.97,1,Admitted
176,320,111,B,4.5,3.5,8.87,1,Admitted
177,329,119,B,4.5,4.5,9.16,1,Admitted
178,319,110,C,3.5,3.5,9.04,0,Admitted
179,309,108,C,2.5,3.0,8.12,0,Denied
180,307,102,C,3.0,3.0,8.27,0,Denied
181,300,104,C,3.5,3.0,8.16,0,Denied
182,305,107,D,2.5,2.5,8.42,0,Denied
183,299,100,D,3.0,3.5,7.88,0,Denied
184,314,110,C,4.0,4.0,8.8,0,Admitted
185,316,106,D,2.5,4.0,8.32,0,Denied
186,327,113,B,4.5,4.5,9.11,1,Admitted
187,317,107,C,3.5,3.0,8.68,1,Admitted
188,335,118,A,4.5,3.5,9.44,1,Admitted
189,331,115,A,4.5,3.5,9.36,1,Admitted
190,324,112,A,5.0,5.0,9.08,1,Admitted
191,324,111,A,4.5,4.0,9.16,1,Admitted
192,323,110,A,4.0,5.0,8.98,1,Admitted
193,322,114,A,4.5,4.0,8.94,1,Admitted
194,336,118,A,4.5,5.0,9.53,1,Admitted
195,316,109,C,3.5,3.0,8.76,0,Admitted
196,307,107,D,3.0,3.5,8.52,1,Admitted
197,306,105,D,3.0,2.5,8.26,0,Denied
198,310,106,D,3.5,2.5,8.33,0,Denied
199,311,104,C,4.5,4.5,8.43,0,Denied
200,313,107,C,4.0,4.5,8.69,0,Denied
201,317,103,C,2.5,3.0,8.54,1,Denied
202,315,110,D,3.5,3.0,8.46,1,Denied
203,340,120,A,4.5,4.5,9.91,1,Admitted
204,334,120,A,4.0,5.0,9.87,1,Admitted
205,298,105,C,3.5,4.0,8.54,0,Denied
206,295,99,D,2.5,3.0,7.65,0,Denied
207,315,99,D,3.5,3.0,7.89,0,Denied
208,310,102,C,3.5,4.0,8.02,1,Denied
209,305,106,D,3.0,3.0,8.16,0,Denied
210,301,104,C,3.5,4.0,8.12,1,Denied
211,325,108,B,4.5,4.0,9.06,1,Admitted
212,328,110,B,5.0,4.0,9.14,1,Admitted
213,338,120,B,5.0,5.0,9.66,1,Admitted
214,333,119,A,5.0,4.5,9.78,1,Admitted
215,331,117,B,4.5,5.0,9.42,1,Admitted
216,330,116,A,5.0,4.5,9.36,1,Admitted
217,322,112,B,4.5,4.5,9.26,1,Admitted
218,321,109,B,4.0,4.0,9.13,1,Admitted
219,324,110,B,3.0,3.5,8.97,1,Admitted
220,312,104,C,3.5,3.5,8.42,0,Denied
221,313,103,C,4.0,4.0,8.75,0,Admitted
222,316,110,C,3.5,4.0,8.56,0,Admitted
223,324,113,B,4.5,4.0,8.79,0,Admitted
224,308,109,D,3.0,4.0,8.45,0,Denied
225,305,105,D,3.0,2.0,8.23,0,Denied
226,296,99,D,2.5,2.5,8.03,0,Denied
227,306,110,D,3.5,4.0,8.45,0,Denied
228,312,110,D,3.5,3.0,8.53,0,Denied
229,318,112,C,4.0,3.5,8.67,0,Denied
230,324,111,B,3.0,3.0,9.01,1,Admitted
231,313,104,C,4.0,4.5,8.65,0,Denied
232,319,106,C,3.5,2.5,8.33,1,Denied
233,312,107,D,2.5,3.5,8.27,0,Denied
234,304,100,D,2.5,3.5,8.07,0,Denied
235,330,113,A,5.0,4.0,9.31,1,Admitted
236,326,111,A,4.5,4.0,9.23,1,Admitted
237,325,112,B,4.0,4.5,9.17,1,Admitted
238,329,114,A,4.5,5.0,9.19,1,Admitted
239,310,104,C,2.0,3.5,8.37,0,Denied
240,299,100,E,1.5,2.0,7.89,0,Denied
241,296,101,E,2.5,3.0,7.68,0,Denied
242,317,103,D,2.5,2.0,8.15,0,Denied
243,324,115,C,3.5,3.0,8.76,1,Denied
244,325,114,C,3.5,3.0,9.04,1,Admitted
245,314,107,D,2.5,4.0,8.56,0,Denied
246,328,110,B,4.0,2.5,9.02,1,Admitted
247,316,105,C,3.0,3.5,8.73,0,Denied
248,311,104,D,2.5,3.5,8.48,0,Denied
249,324,110,C,3.5,4.0,8.87,1,Admitted
250,321,111,C,3.5,4.0,8.83,1,Admitted
251,320,104,C,3.0,2.5,8.57,1,Denied
252,316,99,D,2.5,3.0,9.0,0,Denied
253,318,100,D,2.5,3.5,8.54,1,Denied
254,335,115,B,4.5,4.5,9.68,1,Admitted
255,321,114,B,4.0,5.0,9.12,0,Admitted
256,307,110,B,4.0,4.5,8.37,0,Admitted
257,309,99,C,4.0,4.0,8.56,0,Admitted
258,324,100,C,4.0,5.0,8.64,1,Admitted
259,326,102,B,5.0,5.0,8.76,1,Admitted
260,331,119,B,5.0,4.5,9.34,1,Admitted
261,327,108,A,5.0,3.5,9.13,1,Admitted
262,312,104,C,3.5,4.0,8.09,0,Denied
263,308,103,D,2.5,4.0,8.36,1,Denied
264,324,111,C,2.5,1.5,8.79,1,Denied
265,325,110,D,3.0,2.5,8.76,1,Admitted
266,313,102,C,2.5,2.5,8.68,0,Denied
267,312,105,D,2.0,2.5,8.45,0,Denied
268,314,107,C,3.0,3.5,8.17,1,Denied
269,327,113,B,4.5,5.0,9.14,0,Admitted
270,308,108,B,4.5,5.0,8.34,0,Admitted
271,306,105,D,2.5,3.0,8.22,1,Denied
272,299,96,D,1.5,2.0,7.86,0,Denied
273,294,95,E,1.5,1.5,7.64,0,Denied
274,312,99,E,1.0,1.5,8.01,1,Denied
275,315,100,E,2.0,2.5,7.95,0,Denied
276,322,110,C,3.5,3.0,8.96,1,Admitted
277,329,113,A,5.0,4.5,9.45,1,Admitted
278,320,101,D,2.5,3.0,8.62,0,Denied
279,308,103,D,3.0,3.5,8.49,0,Denied
280,304,102,D,3.0,4.0,8.73,0,Denied
281,311,102,C,4.5,4.0,8.64,1,Denied
282,317,110,C,4.0,4.5,9.11,1,Admitted
283,312,106,C,4.0,3.5,8.79,1,Admitted
284,321,111,C,2.5,3.0,8.9,1,Admitted
285,340,112,B,5.0,4.5,9.66,1,Admitted
286,331,116,A,4.0,4.0,9.26,1,Admitted
287,336,118,A,4.5,4.0,9.19,1,Admitted
288,324,114,A,5.0,4.5,9.08,1,Admitted
289,314,54,B,5.0,5.0,9.02,0,Admitted
290,313,109,C,4.0,3.5,9.0,0,Admitted
291,307,105,D,2.5,3.0,7.65,0,Denied
292,300,102,D,1.5,2.0,7.87,0,Denied
293,302,99,D,1.0,2.0,7.97,0,Denied
294,312,98,E,3.5,3.0,8.18,1,Denied
295,316,101,D,2.5,2.0,8.32,1,Denied
296,317,100,D,3.0,2.5,8.57,0,Denied
297,310,107,C,3.5,3.5,8.67,0,Admitted
298,320,120,C,4.0,4.5,9.11,0,Admitted
299,330,114,C,4.5,4.5,9.24,1,Admitted
300,305,112,C,3.0,3.5,8.65,0,Denied
301,309,106,D,2.5,2.5,8.0,0,Denied
302,319,108,D,2.5,3.0,8.76,0,Denied
303,322,105,D,3.0,3.0,8.45,1,Denied
304,323,107,C,3.5,3.5,8.55,1,Denied
305,313,106,D,2.5,2.0,8.43,0,Denied
306,321,109,C,3.5,3.5,8.8,1,Denied
307,323,110,C,4.0,3.5,9.1,1,Admitted
308,325,112,B,4.0,4.0,9.0,1,Admitted
309,312,108,C,3.5,3.0,8.53,0,Denied
310,308,110,B,3.5,3.0,8.6,0,Denied
311,320,104,C,3.0,3.5,8.74,1,Admitted
312,328,108,B,4.5,4.0,9.18,1,Admitted
313,311,107,B,4.5,4.5,9.0,1,Admitted
314,301,100,C,3.5,3.0,8.04,0,Denied
315,305,105,D,3.0,4.0,8.13,0,Denied
316,308,104,D,2.5,3.0,8.07,0,Denied
317,298,101,D,1.5,2.0,7.86,0,Denied
318,300,99,E,1.0,2.5,8.01,0,Denied
319,324,111,C,2.5,2.0,8.8,1,Admitted
320,327,113,B,3.5,3.0,8.69,1,Admitted
321,317,106,C,4.0,3.5,8.5,1,Admitted
322,323,104,C,4.0,4.0,8.44,1,Denied
323,314,107,D,2.5,4.0,8.27,0,Denied
324,305,102,D,2.0,2.5,8.18,0,Denied
325,315,104,C,3.0,2.5,8.33,0,Denied
326,326,116,C,3.5,4.0,9.14,1,Admitted
327,299,100,C,2.0,2.0,8.02,0,Denied
328,295,101,D,2.5,2.0,7.86,0,Denied
329,324,112,B,4.0,3.5,8.77,1,Admitted
330,297,96,D,2.5,1.5,7.89,0,Denied
331,327,113,C,3.5,3.0,8.66,1,Admitted
332,311,105,D,3.0,2.0,8.12,1,Denied
333,308,106,C,3.5,2.5,8.21,1,Admitted
334,319,108,C,3.0,3.5,8.54,1,Denied
335,312,107,B,4.5,4.0,8.65,1,Denied
336,325,111,B,4.0,4.5,9.11,1,Admitted
337,319,110,C,3.0,2.5,8.79,0,Denied
338,332,118,A,5.0,5.0,9.47,1,Admitted
339,323,108,A,4.0,4.0,8.74,1,Admitted
340,324,107,A,3.5,4.0,8.66,1,Admitted
341,312,107,C,3.0,3.0,8.46,1,Admitted
342,326,110,C,3.5,3.5,8.76,1,Admitted
343,308,106,C,3.0,3.0,8.24,0,Denied
344,305,103,D,2.5,3.5,8.13,0,Denied
345,295,96,D,1.5,2.0,7.34,0,Denied
346,316,98,E,1.5,2.0,7.43,0,Denied
347,304,97,D,1.5,2.0,7.64,0,Denied
348,299,94,E,1.0,1.0,7.34,0,Denied
349,302,99,E,2.0,2.0,7.25,0,Denied
350,313,101,C,2.5,3.0,8.04,0,Denied
351,318,107,C,3.0,3.5,8.27,1,Denied
352,325,110,B,3.5,4.0,8.67,1,Denied
353,303,100,D,3.0,3.5,8.06,1,Denied
354,300,102,C,3.5,2.5,8.17,0,Denied
355,297,98,D,2.5,3.0,7.67,0,Denied
356,317,106,D,2.0,3.5,8.12,0,Denied
357,327,109,C,3.5,4.0,8.77,1,Admitted
358,301,104,D,3.5,3.5,7.89,1,Denied
359,314,105,D,2.5,2.0,7.64,0,Denied
360,321,107,D,2.0,1.5,8.44,0,Admitted
361,322,110,C,4.0,5.0,8.64,1,Admitted
362,334,116,B,4.0,3.5,9.54,1,Admitted
363,338,115,A,4.5,5.0,9.23,1,Admitted
364,306,103,D,2.5,3.0,8.36,0,Denied
365,313,102,C,3.5,4.0,8.9,1,Admitted
366,330,114,B,4.5,3.0,9.17,1,Admitted
367,320,104,C,3.5,4.5,8.34,1,Denied
368,311,98,E,1.0,2.5,7.46,0,Denied
369,298,92,E,2.0,2.0,7.88,0,Denied
370,301,98,E,2.0,3.0,8.03,1,Denied
371,310,103,D,2.5,2.5,8.24,0,Denied
372,324,110,C,3.5,3.0,9.22,1,Admitted
373,336,119,B,4.5,4.0,9.62,1,Admitted
374,321,109,C,3.0,3.0,8.54,1,Admitted
