OBS_DT,RADIATION,TEMPERATURE,PRESSURE,HUMIDITY,WIND_DIRECTION,WIND_SPEED,TIME_SUNRISE,TIME_SUNSET
2022-09-29 23:55:26,1.21,48.0,30.46,59.0,177.39,5.62,06:13:00,18:13:00
2022-09-29 23:50:23,1.21,48.0,30.46,58.0,176.78,3.37,06:13:00,18:13:00
2022-09-29 23:45:26,1.23,48.0,30.46,57.0,158.75,3.37,06:13:00,18:13:00
2022-09-29 23:40:21,1.21,48.0,30.46,60.0,137.71,3.37,06:13:00,18:13:00
2022-09-29 23:35:24,1.17,48.0,30.46,62.0,104.95,5.62,06:13:00,18:13:00
2022-09-29 23:30:24,1.21,48.0,30.46,64.0,120.2,5.62,06:13:00,18:13:00
2022-09-29 23:25:19,1.2,49.0,30.46,72.0,112.45,6.75,06:13:00,18:13:00
2022-09-29 23:20:22,1.24,49.0,30.46,71.0,122.97,5.62,06:13:00,18:13:00
2022-09-29 23:15:22,1.23,49.0,30.46,80.0,101.18,4.5,06:13:00,18:13:00
2022-09-29 23:10:22,1.21,49.0,30.46,85.0,141.87,4.5,06:13:00,18:13:00
2022-09-29 23:05:23,1.23,49.0,30.47,93.0,120.55,2.25,06:13:00,18:13:00
2022-09-29 23:00:25,1.21,49.0,30.47,98.0,144.19,3.37,06:13:00,18:13:00
2022-09-29 22:55:20,1.22,49.0,30.47,99.0,139.8,6.75,06:13:00,18:13:00
2022-09-29 22:50:19,1.21,50.0,30.47,99.0,140.92,2.25,06:13:00,18:13:00
2022-09-29 22:45:31,1.23,50.0,30.47,99.0,147.61,5.62,06:13:00,18:13:00
2022-09-29 22:40:23,1.22,50.0,30.47,99.0,113.78,4.5,06:13:00,18:13:00
2022-09-29 22:35:19,1.21,50.0,30.47,99.0,123.03,10.12,06:13:00,18:13:00
2022-09-29 22:30:22,1.22,50.0,30.47,99.0,173.73,6.75,06:13:00,18:13:00
2022-09-29 22:25:19,1.22,50.0,30.47,98.0,91.43,6.75,06:13:00,18:13:00
2022-09-29 22:20:22,1.2,50.0,30.47,98.0,109.74,6.75,06:13:00,18:13:00
2022-09-29 22:15:22,1.2,50.0,30.47,98.0,143.53,2.25,06:13:00,18:13:00
2022-09-29 22:10:21,1.2,50.0,30.47,97.0,146.76,5.62,06:13:00,18:13:00
2022-09-29 22:05:20,1.21,50.0,30.47,97.0,158.35,4.5,06:13:00,18:13:00
2022-09-29 22:00:26,1.22,50.0,30.47,97.0,166.05,5.62,06:13:00,18:13:00
2022-09-29 21:55:20,1.22,50.0,30.47,96.0,151.82,5.62,06:13:00,18:13:00
2022-09-29 21:50:32,1.22,50.0,30.47,96.0,152.52,6.75,06:13:00,18:13:00
2022-09-29 21:45:28,1.24,50.0,30.47,95.0,127.82,7.87,06:13:00,18:13:00
2022-09-29 21:40:20,1.23,50.0,30.47,95.0,157.58,6.75,06:13:00,18:13:00
2022-09-29 21:35:21,1.23,50.0,30.47,95.0,172.96,7.87,06:13:00,18:13:00
2022-09-29 21:30:21,1.23,50.0,30.47,95.0,143.82,6.75,06:13:00,18:13:00
2022-09-29 21:25:22,1.24,50.0,30.47,94.0,154.03,5.62,06:13:00,18:13:00
2022-09-29 21:20:21,1.2,50.0,30.47,93.0,165.93,4.5,06:13:00,18:13:00
2022-09-29 21:15:23,1.24,50.0,30.47,93.0,139.82,7.87,06:13:00,18:13:00
2022-09-29 21:10:20,1.21,49.0,30.47,93.0,166.07,9.0,06:13:00,18:13:00
2022-09-29 21:05:26,1.24,50.0,30.47,93.0,116.16,5.62,06:13:00,18:13:00
2022-09-29 21:00:20,1.2,50.0,30.47,92.0,157.48,4.5,06:13:00,18:13:00
2022-09-29 20:55:18,1.19,50.0,30.47,91.0,112.27,7.87,06:13:00,18:13:00
2022-09-29 20:50:20,1.25,50.0,30.47,90.0,133.69,6.75,06:13:00,18:13:00
2022-09-29 20:45:24,1.25,50.0,30.47,88.0,140.64,6.75,06:13:00,18:13:00
2022-09-29 20:40:19,1.23,50.0,30.47,87.0,52.89,1.12,06:13:00,18:13:00
2022-09-29 20:35:19,1.21,50.0,30.47,86.0,132.66,4.5,06:13:00,18:13:00
2022-09-29 20:30:18,1.25,50.0,30.46,85.0,138.35,5.62,06:13:00,18:13:00
2022-09-29 20:25:20,1.23,50.0,30.46,84.0,109.87,3.37,06:13:00,18:13:00
2022-09-29 20:20:23,1.23,50.0,30.47,81.0,123.25,3.37,06:13:00,18:13:00
2022-09-29 20:15:20,1.26,50.0,30.46,75.0,158.64,4.5,06:13:00,18:13:00
2022-09-29 20:10:22,1.17,50.0,30.46,70.0,165.22,5.62,06:13:00,18:13:00
2022-09-29 20:05:22,1.22,50.0,30.46,63.0,160.51,3.37,06:13:00,18:13:00
2022-09-29 20:00:18,1.22,50.0,30.46,51.0,155.36,4.5,06:13:00,18:13:00
