SEQ,LABEL,SENSOR1,SENSOR2,SENSOR3,SENSOR4,SENSOR5,SENSOR6,SENSOR7,SENSOR8,SENSOR9,SENSOR10,SENSOR11,SENSOR12,SENSOR13,SENSOR14,SENSOR15,SENSOR16,SENSOR17,SENSOR18,SENSOR19,SENSOR20,SENSOR21,SENSOR22,SENSOR23,SENSOR24
1,1,0.379162466,0.647413947,3.880380034,3.875620792,5.268300509,2.558205597,5.147154311,2.313851844,2.322660436,2.875576841,1.994851571,2.044830362,1.652367501,1.397145219,1.91911603,0.604807233,0.260052561,0.280055538,0.666975752,0.76295152,0.19991054,0.354781675,0.374586681,0.093595694
2,1,0.591497799,0.510893321,3.376670036,3.465722671,5.302983993,2.577480466,5.045020979,2.491558585,2.1855676,2.625445082,1.587694512,1.528042196,1.550058519,1.40384556,1.872906604,0.549272877,21.07116364,0.226999311,0.372930622,0.387560451,0.015038676,0.077375942,0.402721467,0.560321591
3,1,-0.147399822,0.426695858,3.526220381,3.416755397,5.100899284,2.951998379,4.795644727,2.70707322,2.316184877,2.422452688,1.774782521,1.773365316,1.365863554,1.695094674,2.051652753,0.704652138,0.452274659,0.271520539,0.507599844,0.646363697,0.554347334,0.400511808,0.288968149,0.365966076
4,1,0.261762643,0.291956627,3.348034824,3.897099519,5.043395811,2.695715881,5.076778628,2.316566054,2.393268136,2.238147704,1.458821752,1.730807588,1.661971018,1.876735864,1.624188317,0.494626241,0.815163859,0.349706052,0.428787009,0.257088934,0.551375611,0.577899605,0.774860836,0.556760247
5,1,0.265247333,0.395705369,3.876277449,3.770231317,4.971883253,2.749833299,4.926768744,2.62044909,2.206188009,3.03668815,1.851418738,1.501184825,1.859613685,1.552179269,1.886295859,0.724099589,0.228322846,0.711708729,0.687992417,0.54113014,0.358048004,0.422027846,0.462573602,0.420526148
6,1,0.424054032,0.55173855,3.477914352,3.74232601,4.846832661,2.711811551,5.115167825,2.783173809,2.253076736,2.758984248,1.667215399,1.300133734,1.555609975,1.928188576,1.658372457,0.767361698,0.670767037,0.624303414,0.419107357,0.205961157,0.855253283,0.499150714,0.308169764,0.270821505
7,1,0.358602816,4.690878284,3.708821423,3.448528147,4.795352226,2.772225492,2.993371268,2.447266556,2.801944508,2.75560678,1.965429517,1.750473391,1.690241744,1.750542188,1.642843444,0.057031363,0.610802827,0.291694945,0.426337149,0.783611878,0.324493458,0.517960748,0.212574991,0.397880017
8,1,0.750181945,5.164608343,3.890704763,3.713532731,5.144072483,3.316315175,5.055975091,2.601704767,2.151239999,2.522417403,1.783504028,1.729056967,2.012880695,1.669739979,1.511159884,0.685951002,0.086824087,0.391455286,0.279082616,0.408637431,0.299404712,0.229227043,0.494867758,0.247231262
9,2,0.456975752,5.107168507,3.534084767,4.004015042,5.261896236,2.816286785,3.172940915,2.798438161,2.268005295,2.770055861,1.50582669,1.902963873,1.500901258,1.389517129,0.74532229,0.661317097,0.817849583,0.960156156,0.511667517,0.625508713,0.551075298,0.813926462,0.359515475,0.149714698
10,2,0.506554272,4.941094648,3.512027234,3.557290735,4.854173165,3.131868011,5.506331614,2.458140181,2.130650469,2.795135492,1.672508386,1.554390106,1.210276118,1.840841575,0.717257352,0.204686847,-0.191591983,21.1251686,0.529855893,0.594747071,0.292036728,0.356948531,0.768780055,0.415732441
11,2,0.918248136,0.147182979,3.672962845,3.599306949,5.003523098,3.266904714,5.156522699,2.462019842,2.151834205,2.795831323,1.806547951,1.581717662,1.668079002,1.589540555,1.070801098,0.762661686,0.365160429,0.38732621,0.927182405,0.504572229,0.712652995,0.349213732,0.594882043,0.319383293
12,2,0.459105242,0.253498503,3.78444351,3.320353496,4.39921029,2.648542806,5.296263616,2.659756127,2.20145323,2.459853748,1.942129999,2.295825237,1.844969983,1.498021777,0.809819249,0.613272578,0.572831775,0.302477299,0.966210452,0.751410183,0.39425166,0.323757854,0.829715377,0.581674045
13,2,0.35524049,0.551402109,22.8170896,3.899370437,5.114763307,2.899550634,5.118099764,2.564951651,2.287438441,2.69074536,1.602453143,1.929768203,1.745809182,1.235668534,0.557243533,0.890012736,0.382699066,0.479595018,0.442626635,0.415974066,0.574739262,0.525176239,0.887237715,0.437105351
14,2,0.465217534,0.680259947,3.882989707,3.356178105,5.255925494,2.824556212,5.111634048,2.122263247,2.447625321,4.924815574,1.617630572,1.302523955,1.913451095,1.302946475,0.919218572,0.748339608,0.287453557,0.463439539,0.36377925,0.59184238,0.600121899,0.269700063,0.491424983,0.557029062
15,2,0.874017485,0.262611548,3.997811956,4.353056291,2.771610462,2.771609715,5.023747436,2.179282631,2.38128282,2.580445508,1.793800851,1.706463432,1.51489818,1.53125992,0.831447318,0.518426856,0.215402962,0.419088696,0.324883478,0.396054365,0.578849357,0.475556731,0.542452246,0.5754326
16,2,0.511070194,0.634297304,3.900524132,3.953464072,2.803940003,2.448028142,4.572903467,2.807034199,2.20687922,2.271138422,1.810392609,1.555307425,1.369984303,1.137381992,0.772481387,0.545318005,0.575375593,0.618387849,0.469466151,0.857118811,0.491439665,0.676208936,0.569129515,0.760637985
17,2,0.047858278,0.925788572,4.025625743,3.588635965,3.014692832,3.007202426,2.893260018,2.97572598,2.023554186,2.412723911,1.477338557,1.664863935,1.644758551,1.504509723,0.823854828,0.296817827,0.683217396,0.793875318,0.873911942,0.524146889,0.516409001,0.417109049,0.646592927,0.242829295
18,2,0.434155339,0.783534888,3.509363477,3.943432401,3.206649083,3.031687206,2.935505636,2.747769393,1.564612596,2.78450653,1.229551149,1.73107112,1.872028366,1.35780732,0.852018992,0.509489098,0.575181469,0.52354397,0.634375377,0.516438054,0.340205019,0.536350667,0.645129089,0.465203986
19,2,0.456097966,0.649660142,5.240145106,3.499178752,3.052291496,2.939117311,2.896273496,2.851999824,1.941749633,2.36439502,1.188744706,1.464730747,1.468207371,1.285173282,0.847649505,0.444168486,0.32578917,0.4675697,0.491113213,0.535635737,0.550084751,0.66223058,0.299231154,0.246060608
20,2,0.353624286,5.203587501,3.865416241,3.599150316,3.069239487,2.618022581,3.114788132,3.345854065,1.885664947,2.950460419,1.600815205,1.749834907,1.790045127,1.420070144,0.942469032,0.609503885,0.705095622,0.520547798,0.443698877,0.503222156,0.267591077,0.606161107,0.278264086,0.236754435
21,2,0.335084942,0.941186626,4.97647269,4.380247577,3.057070368,2.544982032,3.352274281,2.937763396,1.875926071,2.775262417,1.90066105,1.687119355,1.340376606,1.28106673,0.953954125,0.807125138,0.42001928,0.71430152,0.196790715,0.146602288,0.112507659,0.618120805,0.470943248,0.378380374
22,2,0.328387534,5.00323784,4.714852532,3.645933197,2.710971434,3.119334664,2.685567,22.64136088,1.77435264,2.259933163,1.644667234,1.473801121,1.562361639,1.299528945,0.922788164,0.662804851,0.668863831,0.294934434,0.623985047,0.890192498,0.53761147,0.517741316,0.351598161,0.724944726
23,1,0.61186462,4.807090685,4.916505978,3.919190516,2.779848517,2.878800452,2.917565435,3.021736315,1.296206653,2.082485153,1.421439647,1.807042928,1.813829345,1.567508596,0.852251676,0.892802247,0.593315873,0.367982797,0.606670453,0.480274925,0.289134372,0.303680399,0.458391904,0.337220923
24,1,0.432079704,0.415259464,4.97927535,4.00709939,2.927891195,2.870605017,3.119566155,3.079155048,1.559961083,2.544255987,1.540248669,2.001379337,1.738449249,1.375868373,1.782745683,0.379631886,0.762683102,0.220683434,0.808748384,0.238670317,0.432215768,0.477867953,0.16009031,0.57448969
25,1,0.46879808,0.493180262,0.560036014,3.371957681,3.304946398,2.969177686,3.410096908,2.589456761,1.679905245,2.003695672,1.514452137,1.911224553,1.430811068,1.563668911,1.451487695,0.733854101,0.575439477,0.445154785,0.407499034,0.63488933,-0.066017479,0.639701804,0.166625739,0.561724148
26,1,0.852210374,0.297568737,0.31003629,3.680119875,2.809493637,2.523040081,2.544670404,3.20908014,1.877207066,1.942171284,1.611759536,1.76787259,1.740328488,2.017358422,1.449082701,0.49627448,0.561813751,0.698962994,0.369535226,0.549601504,0.678424389,0.346098744,0.468901459,0.269373096
27,1,0.326545633,0.45626893,0.619023082,3.802459636,2.980053642,2.834918052,2.840933764,2.768403794,1.492126243,2.209323704,1.591270081,1.640275264,1.861499091,1.394542125,1.921307878,0.403550393,0.300174988,0.546373326,0.45676072,0.830032158,0.535989987,0.463830154,0.486785805,0.12518162
28,1,0.430009845,0.439940286,4.773759173,3.408781618,3.158165681,2.84266905,2.964119228,2.510802239,1.394857805,2.142909742,1.653010297,1.695597676,1.813336946,1.803878031,1.661436444,0.295946208,0.645737066,0.593806261,0.798755752,0.097321859,0.430761069,0.198800949,0.067360101,0.082738709
29,1,0.116424324,0.474457203,0.297252035,3.630660684,2.854925186,2.974517234,3.058513673,2.609225069,1.672921385,2.189408007,1.281413483,1.293384831,1.485724901,1.738605244,1.817785895,0.500309977,0.400339247,0.789003483,0.267737615,0.179128848,0.785294955,0.55928125,0.308987626,0.631183605
30,1,0.043304818,0.423084477,0.50351962,3.694923902,3.319408966,3.110400724,2.963362816,2.929620392,1.869552227,2.346907717,1.714933187,1.589490382,1.917830074,1.577051387,1.635949228,0.701460652,0.245049291,0.145200067,0.689842069,0.44487814,0.481312922,0.676922488,0.604645005,0.591807442
31,1,0.283632857,0.589575278,0.592985312,3.906928188,3.188598974,2.871989864,2.285987473,2.630663399,1.924953502,2.358528785,1.818973793,1.376286583,1.901957841,1.410747531,1.950959964,0.420514958,0.509038083,0.673388151,0.275832223,0.36927958,0.550127724,0.304012577,0.562295591,0.452344672
32,1,0.608155414,0.574138729,0.531344472,3.595299429,2.937766652,2.799493765,2.903326417,2.737992201,2.002424453,2.351187934,1.274070013,1.555483787,1.587559569,1.957994288,1.984076895,0.511432556,0.751648465,0.370179021,0.444700066,0.227450763,0.617556361,0.388524269,0.642937535,0.469377349
33,1,0.246719057,0.324762038,0.539931869,3.62935761,2.847498106,3.026826343,2.991697186,2.96692237,1.321693378,2.306235353,1.677646426,1.384720225,1.761274177,1.843883609,1.833050832,1.030311034,0.588158335,0.708533846,0.346309728,0.340007918,0.169872089,0.348624411,0.388776888,0.478482256
34,1,0.262198014,0.47554638,0.414090961,3.966796746,3.104645068,2.978180868,3.057944595,2.840664323,1.728306016,2.505726363,1.732259908,1.703587566,1.820739762,1.796377794,2.069268596,0.940071438,0.494144936,0.598701296,0.424487622,0.533205194,0.187272869,0.54344231,0.534644913,0.26562788
35,1,0.49757797,0.831587107,0.44100896,4.201860068,3.284267487,2.829403346,2.940380056,3.415741839,1.956752903,2.107764287,1.601318363,1.660507126,1.279902482,1.722389858,1.707124201,0.61231711,0.76301772,0.495318017,0.828631406,0.409745368,0.452840105,-0.001958102,0.301871665,0.594061221
36,1,0.742351679,0.30157284,0.620855072,3.647423414,2.993092247,2.925035627,2.96081189,3.162596697,1.873295539,2.198834963,1.503619453,1.746876361,1.786331436,1.515626019,2.147879596,0.549214383,0.971834505,0.602516079,0.863602918,0.673650376,0.384499359,0.35526269,0.717338461,0.67912875
37,1,0.315294283,0.4741672,4.80632398,3.716096925,3.054177138,3.072636288,3.045111821,3.811577534,2.593994114,2.407230373,1.193987943,1.659839218,1.451708445,1.77356273,1.907136573,0.620018874,0.576471118,0.410773228,0.102252039,0.67661248,0.314945553,0.585963124,0.540483972,0.558743136
38,1,0.387308638,0.532045943,5.192403205,3.599454818,4.816762584,2.826695487,3.052290188,2.853300864,2.40175144,2.105510474,1.449535155,1.306182046,1.968208996,1.646515473,1.620841397,0.476032474,0.457047988,0.290059287,0.308858211,0.461418433,0.558134047,0.602125329,0.675257065,0.653071583
