USER_ID,PRD_CAT,PRD_ID,GENDER,AGE_GRP,MARITAL_YN,PUR_AMT
1001395,1,P00270942,M,26-35,1,11535
1001004,3,P00004842,M,26-35,0,5724
1000819,1,P00036842,M,36-45,0,11787
1001611,1,P00127742,M,26-35,0,8125
1000438,1,P00129342,M,18-25,0,19096
1001640,1,P00034042,M,36-45,0,8154
1001343,1,P00270942,M,36-45,0,19481
1001793,1,P00015542,M,26-35,0,4111
1001188,1,P00121342,M,46-50,0,15189
1001286,2,P00350442,M,36-45,0,13166
1000044,1,P00233542,M,46-50,1,15853
1001598,1,P00059642,M,36-45,0,19208
1000027,1,P00266642,M,26-35,1,7730
1001586,3,P0096542,M,46-50,1,13470
1000255,3,P00249642,M,36-45,1,10723
1001501,1,P00002142,M,26-35,0,15306
1000780,1,P00127342,M,26-35,0,15493
1001586,1,P00127242,M,46-50,1,19688
1000791,1,P00129042,M,36-45,0,12054
1001325,1,P00270542,M,26-35,1,15657
1000366,2,P00161542,M,51-55,1,16014
1000515,1,P00162242,M,26-35,1,11598
1001500,3,P00294442,M,26-35,0,13578
1000229,3,P00058242,M,18-25,0,10939
1000663,1,P00145642,F,26-35,0,11625
1001335,1,P00201442,M,36-45,0,15633
1000735,2,P00187442,M,26-35,0,9824
1001448,1,P00140042,F,26-35,0,15230
1000338,1,P00352142,M,36-45,0,19330
1001311,3,P00189842,M,18-25,0,13555
1000287,2,P00277642,M,51-55,1,9523
1001491,1,P00173342,M,18-25,0,19011
1001733,1,P00320842,M,18-25,1,8037
1000649,1,P00064642,M,26-35,1,4335
1001317,1,P00332242,M,46-50,1,11947
1001329,1,P00042142,M,18-25,0,8159
1000476,2,P00065242,M,36-45,0,9587
1001579,1,P00173942,M,26-35,0,7706
1000023,1,P00277442,M,36-45,1,19265
1000045,1,P00121342,F,46-50,1,11675
1001120,1,P00241542,M,18-25,1,11571
1000384,1,P00121342,M,26-35,1,19668
1000262,1,P00241242,F,26-35,0,11646
1000204,1,P00182142,M,26-35,1,19435
1001230,1,P00244242,M,26-35,0,7916
1001597,2,P00350442,M,26-35,1,3652
1000331,1,P00194642,M,26-35,0,8147
1001418,1,P00070442,M,18-25,1,7667
1001544,1,P00338442,M,26-35,0,15195
1001216,1,P00162442,M,26-35,1,8074
1001780,1,P00278042,M,36-45,0,11697
1000624,1,P00118442,M,26-35,0,15337
1001442,3,P0095942,M,18-25,0,8264
1000454,1,P00364442,M,26-35,1,4400
1000867,3,P00350942,M,46-50,1,11019
1001168,1,P00125942,F,26-35,1,11698
1000093,1,P00111242,M,26-35,1,15266
1001448,2,P00277642,F,26-35,0,12856
1000971,1,P00194642,M,26-35,1,8246
1000592,1,P00338542,M,18-25,1,15848
1000646,1,P00346142,M,36-45,0,15837
1001192,1,P00144642,M,51-55,1,4432
1001754,1,P00165442,M,18-25,0,4419
1000418,3,P00000142,F,26-35,1,10970
1000202,1,P00223542,M,18-25,0,8005
1001129,2,P00277642,M,36-45,0,16410
1001501,1,P00182142,M,26-35,0,15184
1000780,3,P00190542,M,26-35,0,8306
